"subscription_id","user_id","plan","start_date","end_date","status"
1,1,monthly,2024-07-25 00:00:00.000,,active
2,2,monthly,2024-04-19 00:00:00.000,,active
3,3,monthly,2023-11-04 00:00:00.000,2024-01-03 00:00:00.000,expired
4,4,free,2024-03-01 00:00:00.000,,active
5,5,free,2025-08-14 00:00:00.000,,active
6,6,monthly,2025-01-10 00:00:00.000,2025-03-11 00:00:00.000,expired
7,7,monthly,2024-06-01 00:00:00.000,,active
8,8,free,2025-09-17 20:36:02.908,,active
9,9,monthly,2025-01-23 00:00:00.000,,active
10,10,free,2022-02-27 00:00:00.000,,active
11,11,free,2025-03-27 00:00:00.000,,active
12,12,free,2025-05-14 00:00:00.000,,active
13,13,free,2025-03-22 00:00:00.000,,active
14,14,free,2025-09-17 20:36:02.908,,active
15,15,free,2025-03-14 00:00:00.000,,active
16,16,free,2023-01-03 00:00:00.000,,active
17,17,free,2024-12-29 00:00:00.000,,active
18,18,free,2023-05-14 00:00:00.000,,active
19,19,monthly,2024-09-18 00:00:00.000,,active
20,20,free,2024-10-24 00:00:00.000,,active
21,21,free,2025-03-07 00:00:00.000,,active
22,22,free,2025-04-30 00:00:00.000,,active
23,23,monthly,2024-07-20 00:00:00.000,,active
24,24,free,2025-09-17 20:36:02.908,,active
25,25,free,2024-08-15 00:00:00.000,,active
26,26,monthly,2025-09-17 20:36:02.908,,active
27,27,monthly,2023-03-07 00:00:00.000,,active
28,28,monthly,2023-05-08 00:00:00.000,,active
29,29,free,2024-03-15 00:00:00.000,,active
30,30,free,2022-12-26 00:00:00.000,,active
31,31,free,2024-08-08 00:00:00.000,,active
32,32,monthly,2025-07-13 00:00:00.000,,active
33,33,free,2025-09-17 20:36:02.908,,active
34,34,annual,2022-10-02 00:00:00.000,2023-07-02 00:00:00.000,expired
35,35,annual,2022-07-21 00:00:00.000,,active
36,36,monthly,2025-09-17 20:36:02.908,,active
37,37,free,2025-09-17 20:36:02.908,,active
38,38,free,2025-06-22 00:00:00.000,,active
39,39,monthly,2025-04-21 00:00:00.000,2026-04-16 00:00:00.000,canceled
40,40,free,2024-04-11 00:00:00.000,,active
41,41,free,2025-08-06 00:00:00.000,,active
42,42,free,2025-01-10 00:00:00.000,,active
43,43,monthly,2023-11-18 00:00:00.000,,active
44,44,annual,2023-07-28 00:00:00.000,2023-09-30 00:00:00.000,expired
45,45,free,2025-04-10 00:00:00.000,,active
46,46,free,2024-09-20 00:00:00.000,,active
47,47,free,2024-08-07 00:00:00.000,,active
48,48,free,2025-09-17 20:36:02.908,,active
49,49,monthly,2024-10-02 00:00:00.000,,active
50,50,monthly,2022-12-28 00:00:00.000,,active
51,51,free,2024-06-21 00:00:00.000,,active
52,52,free,2025-07-24 00:00:00.000,,active
53,53,free,2025-07-26 00:00:00.000,,active
54,54,monthly,2022-08-22 00:00:00.000,,active
55,55,monthly,2024-04-07 00:00:00.000,,active
56,56,monthly,2024-05-22 00:00:00.000,,active
57,57,monthly,2025-07-06 00:00:00.000,,active
58,58,monthly,2024-11-22 00:00:00.000,,active
59,59,free,2023-12-27 00:00:00.000,,active
60,60,free,2025-09-17 20:36:02.908,,active
61,61,monthly,2024-11-06 00:00:00.000,2025-02-04 00:00:00.000,expired
62,62,monthly,2024-03-29 00:00:00.000,2024-04-28 00:00:00.000,expired
63,63,monthly,2025-09-17 20:36:02.908,,active
64,64,monthly,2025-02-02 00:00:00.000,,active
65,65,monthly,2024-09-23 00:00:00.000,,active
66,66,free,2024-07-18 00:00:00.000,,active
67,67,free,2023-09-17 00:00:00.000,,active
68,68,monthly,2025-09-17 20:36:02.908,,active
69,69,monthly,2025-09-17 20:36:02.908,,active
70,70,free,2025-09-17 20:36:02.908,,active
71,71,monthly,2025-02-09 00:00:00.000,,active
